PC1_NPC,PC1_DAN,Group
-0.075278602,0.087338232,A
-0.06404284,0.088668714,A
-0.078627826,0.073135823,A
-0.092741068,0.058463333,A
-0.107183607,0.042859141,A
-0.082881622,0.065832542,A
-0.06143355,0.086226948,A
-0.085958895,0.060081971,A
-0.057299279,0.08687722,A
-0.050638174,0.092880236,A
-0.069174301,0.074054763,A
-0.067902684,0.074616756,A
-0.060077115,0.080828879,A
-0.064784023,0.075581123,A
-0.080459533,0.059623132,A
-0.093229629,0.046171699,A
-0.062872178,0.076510348,A
-0.067422155,0.071668724,A
-0.069180608,0.068724344,A
-0.070916731,0.066802684,A
-0.064115276,0.073039479,A
-0.059714766,0.076833754,A
-0.04572794,0.09079602,A
-0.054011923,0.082345391,A
-0.082317592,0.053435878,A
-0.05853719,0.076508156,A
-0.060341571,0.073699972,A
-0.078776156,0.055196611,A
-0.06200309,0.071892586,A
-0.041757371,0.091863079,A
-0.061068812,0.072416088,A
-0.063878074,0.069412013,A
-0.060537677,0.072308265,A
-0.058153528,0.073701766,A
-0.061419862,0.069214147,A
-0.061379891,0.067955512,A
-0.055519359,0.073785846,A
-0.068892828,0.058854858,A
-0.062402078,0.064958141,A
-0.053272194,0.074031586,A
-0.066159979,0.060772774,A
-0.065245787,0.061621663,A
-0.064234247,0.062143647,A
-0.054561516,0.070833092,A
-0.057194289,0.066659397,A
-0.031851662,0.091678714,A
-0.054219627,0.069001893,A
-0.071507007,0.050264546,A
0.005272027,0.126809512,A
-0.029102205,0.092423866,A
-0.050686753,0.070403989,A
-0.075711069,0.045275786,A
-0.063481715,0.057327411,A
-0.076530833,0.044181715,A
-0.080200639,0.040452101,A
-0.054150465,0.066348878,A
-0.042152829,0.078054161,A
-0.073649189,0.04638575,A
-0.052317125,0.067343869,A
-0.035677386,0.08394473,A
-0.096847471,0.022718549,A
-0.075130615,0.044377105,A
-0.056471057,0.062949342,A
-0.05308134,0.064769474,A
-0.052195915,0.065605285,A
-0.053197989,0.064551111,A
-0.044893549,0.072664918,A
-0.048380252,0.068730619,A
-0.071589222,0.045349609,A
-0.068484707,0.048227967,A
-0.041832694,0.07477914,A
-0.046620371,0.069267822,A
-0.014176891,0.10074809,A
-0.062030652,0.052605592,A
-0.051116482,0.063461725,A
-0.016429654,0.097920377,A
-0.029401013,0.084698406,A
-0.041271188,0.072684175,A
-0.060237026,0.053314179,A
-0.0248493,0.087947819,A
-0.08909521,0.023560481,A
-0.07067854,0.041874773,A
-0.053906251,0.058379897,A
-0.05096136,0.061217884,A
-0.039349504,0.072809137,A
-0.035519561,0.076440859,A
-0.064735266,0.047143153,A
-0.040681808,0.071058383,A
-0.037270066,0.074166349,A
-0.071587781,0.03977862,A
-0.026379332,0.084885598,A
-0.072823401,0.038236345,A
-0.093218611,0.017822129,A
-0.07495733,0.035489085,A
-0.050034769,0.058786543,A
-0.025222252,0.083345335,A
-0.062985454,0.045003635,A
-0.030939573,0.076562716,A
-0.031996241,0.075212619,A
-0.056049571,0.051109778,A
-0.056860357,0.05002712,A
-0.103721188,0.003064724,A
-0.039066657,0.067375812,A
-0.071921294,0.034264213,A
-0.022621907,0.083376745,A
-0.071255691,0.034555924,A
-0.044843635,0.060348185,A
-0.007189958,0.097994161,A
-0.025532701,0.079459957,A
-0.05816943,0.046811896,A
-0.0047619,0.100073008,A
-0.067921083,0.036704942,A
-0.062432066,0.041853581,A
-0.016949406,0.085829295,A
-0.053498343,0.049053374,A
0.000330648,0.102853277,A
-0.019374907,0.083102754,A
-0.039136262,0.0632289,A
-0.056238566,0.046051861,A
-0.072088353,0.030172205,A
-0.030724097,0.071531744,A
-0.078438513,0.023596807,A
-0.042524625,0.059197964,A
-0.087919956,0.013768822,A
-0.030825201,0.070669046,A
0.036988824,0.138374929,A
-0.009924292,0.091386096,A
-0.034171896,0.066853993,A
-0.04482677,0.056065563,A
-0.097469697,0.003355287,A
-0.092420576,0.008229704,A
-0.076385199,0.024262246,A
-0.020666115,0.079773666,A
-0.020682587,0.079717251,A
-0.054284207,0.046006554,A
-0.036751556,0.063509415,A
-0.050951503,0.049187886,A
-0.022590783,0.077521864,A
-0.065447981,0.034445758,A
-0.097121029,0.002572375,A
-0.062341861,0.036940138,A
-0.067492253,0.031611727,A
-0.023083492,0.075521373,A
-0.030460928,0.068101238,A
-0.069880946,0.028555632,A
-0.085342858,0.012551778,A
-0.034691908,0.062855862,A
-0.039205516,0.057783729,A
-0.071000657,0.025857579,A
-0.033700825,0.062934726,A
-0.040204661,0.056277758,A
-0.087066911,0.009209968,A
-0.048497483,0.047693081,A
0.000605846,0.096746182,A
-0.043702291,0.052078936,A
-0.066336549,0.029224874,A
-0.071592396,0.023854567,A
-0.098438304,-0.0032112,A
-0.039910067,0.055273717,A
-0.083912492,0.011224417,A
-0.008723875,0.086280493,A
-0.013692059,0.081272774,A
-0.059014759,0.035866491,A
-0.040555505,0.053887661,A
-0.045058079,0.04906036,A
0.003517837,0.097583334,A
-0.090760721,0.003039831,A
-0.051750318,0.041632824,A
-0.062370282,0.030904724,A
-0.097235001,-0.004139654,A
-0.029280355,0.063792857,A
-0.048526366,0.04446271,A
-0.043315487,0.04926304,A
-0.081619109,0.010859264,A
-0.038322634,0.054145935,A
-0.032004126,0.060013627,A
-0.050959685,0.041023746,A
-0.050643038,0.04133056,A
-0.058269899,0.033498825,A
-0.028624795,0.062928097,A
-0.018353241,0.073164996,A
-0.007276335,0.084076604,A
-0.081403491,0.009835876,A
-0.008637343,0.082520598,A
-0.058249326,0.032765811,A
-0.043886694,0.047033077,A
-0.044206292,0.046652087,A
-0.081102098,0.009746578,A
-0.064582613,0.026187534,A
-0.031490708,0.058553998,A
-0.075006649,0.015011113,A
-0.055810528,0.03408964,A
-0.027694454,0.061245779,A
-0.078594267,0.010014646,A
-0.057776279,0.030769714,A
-0.088289833,7.24E-05,A
-0.058143319,0.030047872,A
-0.054464015,0.033503476,A
-0.030055693,0.057896596,A
-0.043897228,0.043942888,A
-0.001379277,0.086037728,A
-0.076904064,0.010511603,A
-0.07235862,0.015002082,A
-0.069114211,0.017848931,A
-0.046507175,0.040442982,A
-0.034496127,0.052064913,A
-0.055940505,0.030351586,A
-0.051030844,0.035131283,A
-0.083124787,0.002507561,A
-0.04559913,0.039981173,A
-0.027028751,0.058354334,A
-0.051197081,0.034050281,A
-0.076633757,0.008595078,A
-0.032923378,0.052259053,A
-0.041627957,0.043483181,A
-0.010429553,0.074516311,A
-0.039036095,0.045266523,A
-0.091268773,-0.006970509,A
-0.052380367,0.031880085,A
-0.104443545,-0.020231124,A
-0.056738396,0.027461391,A
-0.074595233,0.009374646,A
-0.030888505,0.052914517,A
-0.041130032,0.042439527,A
-0.076328058,0.007218264,A
-0.025426098,0.058070022,A
-0.041308584,0.042187391,A
-0.044429575,0.038868139,A
-0.043089749,0.040120655,A
-0.08993241,-0.007482809,A
-0.050966465,0.031423422,A
-0.07921802,0.003092135,A
-0.053435027,0.028491879,A
-0.033730103,0.048189607,A
-0.084155492,-0.002264189,A
-0.00708761,0.074526259,A
-0.011588421,0.069893374,A
0.000214234,0.081595907,A
-0.060312114,0.020938264,A
-0.033478346,0.04771844,A
-0.085559985,-0.00443954,A
-0.036170449,0.044818935,A
-0.013336784,0.067625439,A
-0.034767829,0.046182517,A
-0.088631701,-0.007898068,A
-0.002957219,0.077456201,A
-0.080152285,0.000229071,A
-0.112070332,-0.031971237,A
-0.047771223,0.032221183,A
-0.063954594,0.015736842,A
-0.026300574,0.053238493,A
-0.051186119,0.028197229,A
-0.034538143,0.044441617,A
0.016459214,0.095432813,A
-0.047207206,0.031713516,A
-0.018884873,0.059888908,A
-0.040396016,0.038048326,A
-0.041877951,0.036540266,A
-0.050036025,0.02835422,A
-0.046226464,0.032136484,A
-0.042651369,0.035569758,A
-0.101809066,-0.023610716,A
0.016976947,0.09488837,A
-0.077021098,0.000389959,A
-0.028873077,0.047819285,A
-0.055069519,0.021326068,A
-0.082392149,-0.006089173,A
-0.039508098,0.036387772,A
-0.087028844,-0.011234057,A
-0.032342787,0.043306007,A
-0.055035811,0.020543392,A
0.024181484,0.099679295,A
0.010233125,0.085721984,A
-0.048615378,0.026703913,A
-0.008334129,0.066976148,A
-0.03522219,0.040041051,A
-0.073548335,0.001693768,A
-0.05053506,0.024402534,B
-0.076455033,-0.001579372,B
-0.04212587,0.032735597,B
0.009163358,0.083681138,B
-0.028465751,0.045992143,B
-0.101714784,-0.027311919,B
-0.081732549,-0.007330407,B
0.007402998,0.081777916,B
-0.099936275,-0.025570237,B
-0.017971769,0.056332311,B
-0.011960976,0.062292606,B
-0.057022519,0.016962308,B
-0.022403414,0.051537745,B
-0.023157607,0.050750525,B
-0.040747145,0.033129445,B
-0.011741972,0.061983768,B
-0.001722039,0.071994709,B
-0.017780795,0.055828557,B
-0.019958871,0.053457218,B
-0.038748026,0.034632485,B
-0.061029309,0.012313564,B
-0.036014046,0.037320134,B
-0.099809615,-0.026682432,B
-0.05344479,0.019624418,B
-0.058965015,0.013777496,B
-0.021435176,0.051223596,B
-0.100675221,-0.028215777,B
0.017292723,0.089536818,B
-0.029782294,0.042444428,B
-0.032328599,0.039543225,B
-0.089010134,-0.017272769,B
-0.048432274,0.022981051,B
0.075869705,0.147213767,B
-0.011872754,0.059345088,B
-0.034000833,0.037103799,B
0.008349081,0.079353255,B
-0.050967645,0.020017842,B
-0.027002433,0.043895976,B
-0.076925556,-0.006218948,B
-0.063239542,0.007295911,B
-0.041703795,0.02873679,B
-0.068106573,0.002038506,B
-0.030953469,0.039168793,B
-0.012298495,0.057735778,B
-0.075444848,-0.005413951,B
-0.104391769,-0.034474447,B
-0.032181141,0.037670735,B
-0.050925234,0.018726485,B
-0.020143322,0.049434718,B
-0.056558641,0.012932647,B
-0.021390168,0.04790281,B
0.001848434,0.071055655,B
-0.050835815,0.018130942,B
-0.058788033,0.010079688,B
-0.025064022,0.043566043,B
-0.066570817,0.001983853,B
0.050508286,0.119049438,B
-0.067779746,0.000681539,B
-0.05607799,0.011969072,B
-0.085398332,-0.017469184,B
-0.061260554,0.006636519,B
-0.104876786,-0.036996793,B
-0.055304835,0.012475601,B
-0.03280992,0.034777974,B
0.08093417,0.148437409,B
-0.049558969,0.017918438,B
-0.055389086,0.011930711,B
0.02510768,0.0924158,B
-0.054128724,0.013168486,B
-0.080283296,-0.013047575,B
-0.055237543,0.011817877,B
-0.019643698,0.04737226,B
-0.050194696,0.016817812,B
-0.038145483,0.028519618,B
-0.038808594,0.027809224,B
-0.104749004,-0.038363855,B
-0.076274078,-0.00995009,B
-0.063588458,0.002603473,B
-0.003294837,0.062889377,B
-0.05497433,0.010899584,B
-0.096706056,-0.030863496,B
-0.095299091,-0.029901135,B
-0.083238126,-0.017870504,B
-0.077276152,-0.011976096,B
0.013871186,0.07913769,B
-0.005203929,0.059745627,B
-0.08740839,-0.022509826,B
-0.078885505,-0.014503553,B
-0.041260446,0.023063128,B
-0.022201493,0.042077238,B
-0.022462987,0.0416407,B
-0.006473612,0.057150491,B
-0.018632357,0.044921842,B
0.029017303,0.092535596,B
0.001078361,0.064535554,B
-0.069397814,-0.006010989,B
-0.054604414,0.00867079,B
-0.034357621,0.028892982,B
-0.00376847,0.059446107,B
-0.019510033,0.043336344,B
-0.082198657,-0.019356162,B
-0.054948803,0.007871506,B
0.033132234,0.095868646,B
-0.07527738,-0.01265647,B
-0.1081709,-0.045558863,B
-0.024698033,0.037772581,B
0.004611307,0.067042705,B
-0.053341678,0.009034942,B
-0.059638927,0.002629212,B
-0.038152118,0.024115257,B
-0.073950716,-0.011708228,B
0.011193843,0.073392226,B
-0.061536825,0.000657084,B
-0.066752392,-0.004795381,B
-0.04900329,0.012940774,B
-0.072649013,-0.010737658,B
-0.017012559,0.044844203,B
-0.027740783,0.034102407,B
-0.051980042,0.009643331,B
-0.080086116,-0.018591504,B
-0.039498961,0.021956918,B
-0.014691948,0.04661258,B
-0.01639051,0.044834748,B
-0.04772724,0.013445693,B
-0.03705068,0.024071035,B
-0.031874282,0.028941466,B
-0.06006171,0.000719406,B
-0.089487059,-0.028762868,B
-0.049911861,0.010792151,B
-0.080386045,-0.019918475,B
-0.088708306,-0.028257529,B
-0.114495564,-0.054237488,B
-0.016500335,0.043717528,B
-0.041031266,0.018664174,B
-0.057530883,0.002077444,B
0.020719775,0.080035697,B
-0.049082352,0.010139449,B
-0.042641845,0.016495612,B
-0.036915034,0.022042294,B
-0.034243886,0.024671836,B
-0.023265553,0.035578904,B
-0.048741457,0.010055861,B
-0.033671071,0.025105175,B
-0.020189047,0.038573618,B
-0.014035395,0.044633666,B
-0.05555402,0.003100835,B
-0.075664284,-0.017149045,B
-0.070370082,-0.011895404,B
-0.007311601,0.051142418,B
-0.110378444,-0.051996409,B
-0.077022109,-0.018774459,B
-0.056573268,0.001662488,B
0.019968574,0.078157693,B
-0.067084779,-0.008911179,B
0.03401312,0.092159688,B
0.018016108,0.076162506,B
-0.069025177,-0.010927895,B
-0.005799025,0.052287312,B
0.0186142,0.076507943,B
-0.071395421,-0.013542259,B
-0.026908016,0.030920822,B
-0.070939419,-0.01311833,B
-0.089269252,-0.031462394,B
-0.027234053,0.030562006,B
0.088111297,0.145849352,B
0.00078438,0.058373608,B
-0.030647857,0.026855491,B
-0.075487505,-0.0185059,B
-0.055443887,0.001501547,B
0.098538481,0.155420198,B
0.098732014,0.155590933,B
0.103753306,0.160553299,B
-0.015195733,0.041421847,B
-0.037843906,0.018762917,B
-0.068234152,-0.01167604,B
0.050381136,0.106691282,B
-0.068242513,-0.011994087,B
-0.08144649,-0.025440227,B
-0.025461332,0.03051714,B
-0.037145372,0.018650526,B
-0.101061125,-0.045412758,B
-0.075429701,-0.019795447,B
-0.064796367,-0.009203649,B
-0.090885168,-0.035342533,B
0.007933564,0.06347019,B
-0.093387551,-0.037877461,B
-0.029798632,0.02560406,B
-0.06703286,-0.011690003,B
0.077975382,0.133243289,B
-0.06224929,-0.007231059,B
-0.026967588,0.028018852,B
-0.073553044,-0.018726785,B
-0.067083779,-0.012271053,B
0.003536784,0.058321224,B
-0.045323407,0.009369272,B
-0.087236988,-0.032564901,B
-0.043822855,0.010771925,B
-0.059336889,-0.004752299,B
-0.077058408,-0.022601561,B
-0.013703302,0.040633599,B
-0.059662465,-0.005357047,B
-0.003920357,0.050203345,B
0.03363871,0.087743293,B
-0.038595524,0.015421205,B
-0.03719559,0.016773961,B
0.047714366,0.101680146,B
-0.097215781,-0.043325934,B
0.022217136,0.076100015,B
-0.061174981,-0.007296987,B
0.013090902,0.06689057,B
0.013704074,0.067448631,B
-0.061345999,-0.007623847,B
-0.08006849,-0.0264818,B
-0.076582781,-0.023257665,B
-0.114507738,-0.061261851,B
-0.058487535,-0.005286182,B
-0.078634707,-0.025470036,B
0.08625744,0.139369952,B
-0.055099898,-0.00227729,B
-0.025024466,0.027607145,B
-0.086976475,-0.034376096,B
0.083233249,0.135734558,B
-0.049574532,0.002876716,B
-0.061009536,-0.008629233,B
-0.019070752,0.033301116,B
-0.038997583,0.013023317,B
-0.010440786,0.041523131,B
-0.066721492,-0.014782828,B
-0.094313593,-0.042528206,B
0.020710845,0.072480669,B
0.033159358,0.084916013,B
-0.012924514,0.038825722,B
0.112821413,0.164526162,B
0.047316288,0.098834449,B
0.030107711,0.081520942,B
-0.053773188,-0.002446625,B
0.029829312,0.081062248,B
-0.039379559,0.011699224,B
-0.094957229,-0.044150788,B
0.039406797,0.090178139,B
0.047692269,0.098394415,B
0.039525764,0.090218811,B
0.030656743,0.081318037,B
0.092141511,0.142705857,B
-0.04272342,0.007646724,B
-0.096828057,-0.046537005,B
-0.067223344,-0.017000545,B
0.11879119,0.169005649,B
-0.057599998,-0.007531775,B
0.032314234,0.082334596,B
-0.058155169,-0.008183501,B
-0.058391047,-0.008478877,B
-0.063434035,-0.013565531,B
-0.014347505,0.035302994,B
-0.054294099,-0.00470873,B
0.006498901,0.055843981,B
-0.048279214,0.000990851,B
0.110259023,0.159517489,B
0.03579302,0.085006339,B
-0.096090825,-0.046914403,B
-0.017909196,0.031259964,B
-0.047052396,0.002020399,B
-0.094537432,-0.045481947,B
-0.022991426,0.026054838,B
-0.063502054,-0.014601253,B
0.046501284,0.095295677,B
0.047274804,0.096011107,B
0.017353361,0.065978278,B
-0.086278753,-0.037657711,B
-0.09787606,-0.049478369,B
0.100723476,0.149087903,B
0.046300368,0.094571229,B
-0.084408629,-0.036328125,B
0.046313086,0.09439103,B
-0.082538161,-0.034570499,B
0.018608934,0.066544603,B
-0.006557643,0.041272872,B
-0.085216264,-0.037579384,B
-0.028193619,0.019353268,B
-0.010632204,0.036665738,B
0.054067306,0.100891705,B
0.052799352,0.099525907,B
0.021979704,0.068704576,B
-0.030313895,0.01640297,B
-0.021728706,0.024957481,B
-0.030490042,0.016180371,B
-0.066361641,-0.019795547,B
-0.057598824,-0.011057429,B
-0.079414687,-0.032961138,B
0.033648852,0.079905663,B
-0.063278877,-0.017057608,B
-0.034409433,0.011580742,B
-0.098724233,-0.052759857,B
-0.047703605,-0.001780722,B
0.002127853,0.048048503,B
-0.047491041,-0.001694011,B
-0.05753511,-0.011861888,B
-0.054526417,-0.008933011,B
-0.060892481,-0.015349857,B
-0.079419072,-0.033970917,B
-0.05121355,-0.005765604,B
-0.115126036,-0.069756459,B
-0.054314487,-0.009024076,B
0.023438904,0.068619682,B
-0.002643481,0.04247862,B
-0.00333459,0.041692294,B
0.036521094,0.081536656,B
-0.096636183,-0.051721172,B
-0.016383519,0.028505313,B
-0.080770295,-0.035910208,B
0.048524606,0.093196485,B
-0.090973719,-0.046315193,B
-0.103811497,-0.05920289,B
-0.021707913,0.022798285,B
-0.093883012,-0.049498509,B
-0.099727958,-0.05539465,B
-0.060542057,-0.016235667,B
-0.068114248,-0.023903851,B
-0.017087752,0.026935724,B
0.058348067,0.102320652,B
-0.005871568,0.038020112,B
-0.0683785,-0.024570441,B
-0.069136594,-0.02536954,B
0.007540066,0.051244784,B
