DAN_cis_A_01,DAN_cis_A_02,DAN_cis_A_03,DAN_cis_A_04,DAN_cis_A_05,DAN_cis_A_06,DAN_cis_A_07,DAN_cis_A_08,DAN_cis_A_09,DAN_cis_A_10,DAN_cis_A_11,DAN_cis_A_12,DAN_cis_A_13,DAN_cis_A_14,DAN_cis_A_15,DAN_cis_A_16,DAN_cis_A_17,DAN_cis_A_18,DAN_cis_A_19,DAN_cis_A_20,DAN_cis_A_21,DAN_cis_A_22,DAN_cis_A_23,DAN_cis_A_24,DAN_cis_A_25,DAN_cis_A_26,DAN_cis_A_27,DAN_cis_A_28,DAN_cis_A_29,DAN_cis_A_30,DAN_cis_A_31,DAN_cis_A_32,DAN_cis_A_33
0.976494523,0.976494523,0.986111202,0.959306779,0.961788188,0.931336085,0.930742974,0.93978629,0.931343829,0.931122448,0.9170471,0.900830076,0.914062536,0.918662262,0.904262069,0.89559907,0.85733118,0.837641257,0.845890759,0.831195409,0.837677991,0.843903175,0.850726489,0.857591239,0.849163227,0.815449306,0.796790716,0.805852938,0.80034078,0.782742615,0.799913146,0.832932896,0.847790459
0.976494523,0.978872906,0.993067747,0.98629315,0.960291154,0.943325465,0.944003636,0.943158705,0.924361316,0.908207304,0.908232219,0.913684897,0.905093136,0.919723653,0.920444618,0.900774368,0.849636604,0.850484249,0.853472943,0.847571195,0.828927905,0.84174402,0.815866628,0.838257143,0.86031311,0.812044543,0.8312722,0.810816875,0.831410879,0.804016781,0.799090689,0.832932896,0.832932896
0.986111202,0.993067747,1.01742891,1.033212076,0.983905566,0.943388895,0.958305499,0.93916368,0.925499602,0.931122448,0.936052264,0.926935805,0.915172325,0.918048815,0.926335149,0.890676426,0.849636604,0.839901677,0.853472943,0.831195409,0.852462236,0.846898305,0.815866628,0.81109765,0.863774038,0.828248797,0.800310213,0.807641242,0.816704714,0.792021738,0.789476434,0.803191544,0.812080021
0.959306779,0.98629315,1.033212076,1.012350407,1.030440224,0.978085038,0.964687168,0.964903056,0.95878708,0.945969663,0.936052264,0.917174206,0.90206876,0.906945983,0.902327111,0.893931111,0.862496119,0.849776622,0.853472943,0.860926691,0.846397274,0.85347699,0.816773869,0.81109765,0.803597188,0.803066083,0.798359779,0.802812044,0.823120236,0.831198344,0.83018091,0.811419232,0.824043071
0.961788188,0.960291154,0.983905566,1.030440224,1.013451315,1.006913767,1.000513652,0.966169207,0.979645842,0.969193508,0.945340505,0.922830436,0.898296147,0.903979133,0.902327111,0.901351791,0.886936072,0.88532147,0.872162513,0.879663874,0.879239601,0.82620961,0.791798755,0.833818755,0.826077742,0.812044543,0.809236255,0.799913146,0.803185244,0.810431807,0.822818089,0.79903227,0.840876108
0.931336085,0.943325465,0.943388895,0.978085038,1.006913767,1.033212076,1.008767057,0.988555839,1.00514141,0.981117878,0.964467818,0.946562472,0.930559772,0.919723653,0.904262069,0.894848926,0.886936072,0.883086016,0.883706868,0.89961147,0.882870302,0.869351744,0.850741928,0.852928946,0.853449136,0.859190681,0.836424273,0.830308119,0.807314945,0.797587994,0.847982486,0.877945132,0.873206585
0.930742974,0.944003636,0.958305499,0.964687168,1.000513652,1.008767057,1.000549143,0.998234338,0.994053796,0.988442239,0.994437067,0.979627154,0.959816612,0.95156304,0.925689522,0.911428201,0.898746016,0.887124633,0.891547802,0.902408655,0.896633263,0.881819254,0.876895677,0.860437194,0.843974704,0.840106661,0.830989207,0.853296728,0.853296728,0.849826464,0.853296728,0.885697612,0.859702632
0.93978629,0.943158705,0.93916368,0.964903056,0.966169207,0.988555839,0.998234338,1.007010765,1.018254112,1.018064093,1.00198895,0.990473614,0.977219976,0.972295573,0.957587498,0.927050867,0.913868855,0.896957474,0.914712804,0.899478469,0.884765493,0.901277218,0.884061796,0.874364245,0.860892938,0.847615178,0.841551978,0.829120208,0.837418005,0.829352051,0.8897099,0.853888209,0.837418005
0.931343829,0.924361316,0.925499602,0.95878708,0.979645842,1.00514141,0.994053796,1.018254112,1.044026281,1.050033835,1.032588008,1.000458896,0.984888747,0.975873064,0.970357883,0.956895728,0.928296006,0.931776214,0.913973671,0.908980606,0.920346744,0.891900985,0.87619011,0.881995126,0.874569491,0.860418044,0.851666322,0.830997375,0.846640038,0.855610715,0.839643783,0.874216281,0.851061146
0.931122448,0.908207304,0.931122448,0.945969663,0.969193508,0.981117878,0.988442239,1.018064093,1.050033835,1.038147159,1.032083663,1.025481795,1.009691394,0.998732255,0.982888249,0.972099694,0.962701972,0.929272145,0.912175087,0.912218283,0.922001298,0.923122235,0.898109649,0.886115002,0.8926071,0.867940324,0.858227325,0.85792388,0.858068381,0.875039842,0.86122718,0.872056426,0.872056426
0.9170471,0.908232219,0.936052264,0.936052264,0.945340505,0.964467818,0.994437067,1.00198895,1.032588008,1.032083663,1.025941838,1.032055018,1.029028318,1.030571558,1.001796491,1.003506211,0.977393712,0.922327852,0.953929021,0.926906167,0.919966935,0.943545052,0.914328615,0.867034111,0.869130809,0.88444769,0.884248205,0.867026285,0.88336638,0.884695467,0.871858141,0.863050443,0.851720195
0.900830076,0.913684897,0.926935805,0.917174206,0.922830436,0.946562472,0.979627154,0.990473614,1.000458896,1.025481795,1.032055018,1.02968905,1.043008247,1.0281275,1.021720849,0.997531526,0.962180845,0.953818023,0.956114676,0.943140266,0.915623217,0.920120874,0.904290531,0.898385701,0.86864802,0.897280204,0.889904319,0.870555876,0.87778312,0.891091702,0.883519332,0.855210376,0.848559785
0.914062536,0.905093136,0.915172325,0.90206876,0.898296147,0.930559772,0.959816612,0.977219976,0.984888747,1.009691394,1.029028318,1.043008247,1.042209517,1.032578428,1.038167156,1.013771321,0.994791383,0.992016387,0.968182644,0.944360737,0.929461822,0.913676201,0.929056283,0.896786882,0.886082622,0.867080844,0.866213433,0.86800396,0.889648508,0.882655912,0.858264738,0.871981597,0.871062222
0.918662262,0.919723653,0.918048815,0.906945983,0.903979133,0.919723653,0.95156304,0.972295573,0.975873064,0.998732255,1.030571558,1.0281275,1.032578428,1.035908948,1.050935195,1.049680772,1.010333148,1.033846286,1.027445191,1.018570797,0.979641463,0.948499687,0.937283729,0.922340162,0.91748819,0.916147925,0.877091238,0.879605527,0.874005104,0.857799501,0.842368925,0.824581902,0.82838805
0.904262069,0.920444618,0.926335149,0.902327111,0.902327111,0.904262069,0.925689522,0.957587498,0.970357883,0.982888249,1.001796491,1.021720849,1.038167156,1.050935195,1.041122474,1.056356771,1.037522854,1.04440375,1.035746816,1.028326634,0.983123857,0.977605187,0.974613915,0.960314095,0.950331755,0.911717889,0.884490218,0.879767446,0.867174176,0.83252237,0.838748125,0.818120435,0.810908272
0.89559907,0.900774368,0.890676426,0.893931111,0.901351791,0.894848926,0.911428201,0.927050867,0.956895728,0.972099694,1.003506211,0.997531526,1.013771321,1.049680772,1.056356771,1.039637088,1.044081038,1.04321206,1.03489005,1.037326376,0.994607743,0.999527316,1.01447974,0.97601818,0.947700541,0.907287853,0.894018209,0.897780515,0.87974608,0.842954719,0.824273635,0.814562359,0.812018292
0.85733118,0.849636604,0.849636604,0.862496119,0.886936072,0.886936072,0.898746016,0.913868855,0.928296006,0.962701972,0.977393712,0.962180845,0.994791383,1.010333148,1.037522854,1.044081038,1.030841769,1.049114424,1.061847647,1.05813682,1.001671974,1.031390003,1.006483614,1.002107327,0.974576423,0.929423618,0.892463631,0.883716754,0.860013368,0.839067785,0.817841224,0.806160705,0.806160705
0.837641257,0.850484249,0.839901677,0.849776622,0.88532147,0.883086016,0.887124633,0.896957474,0.931776214,0.929272145,0.922327852,0.953818023,0.992016387,1.033846286,1.04440375,1.04321206,1.049114424,1.055653004,1.078430077,1.061727863,1.047436756,1.031769313,1.03847506,0.990247591,0.985609807,0.962319797,0.902140359,0.893895645,0.859470249,0.835146939,0.82067848,0.804707468,0.807198066
0.845890759,0.853472943,0.853472943,0.853472943,0.872162513,0.883706868,0.891547802,0.914712804,0.913973671,0.912175087,0.953929021,0.956114676,0.968182644,1.027445191,1.035746816,1.03489005,1.061847647,1.078430077,1.058587165,1.068483282,1.07954607,1.065195972,1.039163435,1.016402141,0.988669848,0.960682586,0.913713176,0.910293328,0.879037155,0.836507499,0.828751003,0.839065143,0.799300724
